Episod,Title,Day,Month,Year,Rate,link
1,Ore wa Luffy! Kaizoku Ou ni Naru Otoko Da!,6,9,2003,8.4,https://www.imdb.com/title/tt0947442/?ref_=ttep_ep1
2,Daikengo Arawaru! Kaizokugari Roronoa Zoro,17,11,1999,8.3,https://www.imdb.com//title/tt0947176
3,Morgan vs. Luffy! Nazo no Bishoujo wa Dare?,24,11,1999,8.0,https://www.imdb.com//title/tt0947175
4,Luffy no Kako! Akagami no Shanks Toujou,8,12,1999,8.3,https://www.imdb.com//title/tt0947174
5,Kyoufu Nazo no Chikara! Kaizoku Douke Buggy-senchou!,15,12,1999,7.4,https://www.imdb.com//title/tt0948320
6,Zettai Zetsumei! Mojutsukai Moji VS Rufi!,29,12,1999,7.6,https://www.imdb.com//title/tt0949128
7,Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!,29,12,1999,7.5,https://www.imdb.com//title/tt0952145
8,Shousha wa docchi? Akuma no mi no nouryoku taiketsu!,29,12,1999,7.7,https://www.imdb.com//title/tt0952148
9,Seigi no usotsuki? Kyaputen Usoppu,12,1,2000,7.1,https://www.imdb.com//title/tt0952146
10,Chijou saikyou no hen na yatsu! Saiminjutsushi Jango,19,1,2000,7.3,https://www.imdb.com//title/tt0952147
11,Inbou o abake! Kaizoku shitsuji Kyaputen Kuro,26,1,2000,7.3,https://www.imdb.com//title/tt0957058
12,Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!,2,2,2000,7.6,https://www.imdb.com//title/tt0957053
13,Kyoufu no futarigumi! Nyâban kyoudai vs Zoro,9,2,2000,7.5,https://www.imdb.com//title/tt0957059
14,Rufi fukkatsu! Kaya ojousama no kesshi no taikou,16,2,2000,7.6,https://www.imdb.com//title/tt0957056
15,Kuro o taose! Otoko Usoppu namida no ketsui!,23,2,2000,7.4,https://www.imdb.com//title/tt0957055
16,Kaya o mamore! Usoppu kaizokudan daikatsuyaku!,1,3,2000,7.6,https://www.imdb.com//title/tt0957057
17,Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!,8,3,2000,8.1,https://www.imdb.com//title/tt0957054
18,Anta ga chunjuu! Gaimon to kimyou na nakama,15,3,2000,6.8,https://www.imdb.com//title/tt0960523
19,Santouryuu no kako! Zoro to Kuina no chikai!,22,3,2000,8.9,https://www.imdb.com//title/tt0961581
20,Meibutsu kokku! Kaijou resutoran no Sanji,12,4,2000,7.6,https://www.imdb.com//title/tt0961579
21,Manukarezaru kyaku! Sanji no meshi to Gin on,12,4,2000,7.6,https://www.imdb.com//title/tt0961572
22,Saikyou no kaizoku kantai! Teitoku Don Kurîku,26,4,2000,7.5,https://www.imdb.com//title/tt0961580
23,Mamore Baratie! Daikaizoku akaashi no Zefu,3,5,2000,7.8,https://www.imdb.com//title/tt0961576
24,Taka no me no Mihôku! Kenzoku Zoro umi ni chiru,10,5,2000,9.1,https://www.imdb.com//title/tt0961573
25,Hissatsu ashiwaza sakuretsu! Sanji vs Teppeki no Pâru,17,5,2000,7.5,https://www.imdb.com//title/tt0961578
26,Zefu to Sanji no yume Maboroshi no ôru burû,24,5,2000,8.7,https://www.imdb.com//title/tt0961582
27,Reitetsu hijou no kijin Kaizoku kantai soutaichou Gin,31,5,2000,7.5,https://www.imdb.com//title/tt0961577
28,Shinaneeyo! Gekitou Rufi vs Kurîku!,7,6,2000,7.6,https://www.imdb.com//title/tt0961574
29,Shitou no Ketchaku! Hara ni Kukutta Ippon no Yari!,21,6,2000,7.9,https://www.imdb.com//title/tt0961575
30,Tabidachi! Umi no kokku wa Rufi to tomoni,28,6,2000,8.3,https://www.imdb.com//title/tt0963014
31,Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Arlong!,12,7,2000,7.6,https://www.imdb.com//title/tt0963015
32,Cocoyashi Mura no Majo! Arlong no Onna Kanbu,19,7,2000,7.7,https://www.imdb.com//title/tt0963016
33,Usopp Shisu?! Luffy Jouriku wa Mada?,19,7,2000,7.8,https://www.imdb.com//title/tt0963615
34,Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu,26,7,2000,7.4,https://www.imdb.com//title/tt0964362
35,Himerareta Kako! Onna Senshi Bell-mere!,2,8,2000,8.1,https://www.imdb.com//title/tt0965145
36,Ikinuke! Haha Bellemere to Nami no Kizuna!,9,8,2000,8.9,https://www.imdb.com//title/tt0965144
37,Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!,16,8,2000,9.2,https://www.imdb.com//title/tt0965142
38,Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan,23,8,2000,8.2,https://www.imdb.com//title/tt0965143
39,Luffy Suibotsu! Zoro vs Tako no Hacchan,30,8,2000,8.0,https://www.imdb.com//title/tt0967036
40,Hokoritakaki Senshi! Gekitou Sanji to Usopp,6,9,2000,8.0,https://www.imdb.com//title/tt0967038
41,Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi,13,9,2000,8.1,https://www.imdb.com//title/tt0967037
42,Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!,27,9,2000,8.0,https://www.imdb.com//title/tt0967034
43,Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!,27,9,2000,8.6,https://www.imdb.com//title/tt0967040
44,Egao no Tabidachi! Saraba Furusato Cocoyashi Mura,11,10,2000,7.9,https://www.imdb.com//title/tt0967039
45,Joukinkubi! Mugiwara no Luffy Yo ni Shirewataru,25,10,2000,7.7,https://www.imdb.com//title/tt0967033
46,Mugiwara o Oe! Chiisana Buggy no Daibouken,1,11,2000,6.3,https://www.imdb.com//title/tt0967035
47,Omachikane! Aa Fukkatsu no Buggy Senchou!,8,11,2000,6.2,https://www.imdb.com//title/tt0967042
48,Hajimari to Owari no Machi: Loguetown Jouriku,22,11,2000,7.9,https://www.imdb.com//title/tt0967041
49,Sandai Kitetsu to Yubashiri! Zoro no Shintou to Onna Souchou,22,11,2000,8.0,https://www.imdb.com//title/tt0968127
50,Usopp Tai Kozure no Daddy: Mahiru no Kettou,29,11,2000,7.4,https://www.imdb.com//title/tt0968128
51,Honoo no Ryouri Battle? Sanji VS Bijin Chef,6,12,2000,6.9,https://www.imdb.com//title/tt0968125
52,Buggy no Revenge! Shokeidai de Warau Otoko!,13,12,2000,8.2,https://www.imdb.com//title/tt0968126
53,Densetsu wa Hajimatta! Mezase Grand Line,10,1,2001,8.4,https://www.imdb.com//title/tt0969499
54,Aratanaru Bouken no Yokan! Nazo no Shoujo Apis,17,1,2001,7.0,https://www.imdb.com//title/tt0970336
55,Kiseki no Seibutsu! Apis no Himitsu to Densetsu no Shima,24,1,2001,6.7,https://www.imdb.com//title/tt0971061
56,Eric Shutsugeki! Gunkanjima kara no Daidasshutsu!,31,1,2001,6.6,https://www.imdb.com//title/tt0971059
57,Zekkai no Kotou! Densetsu no Lost Island,7,2,2001,6.5,https://www.imdb.com//title/tt0971060
58,Haikyo no Kettou! Kinpaku no Zoro VS Erik!,21,2,2001,6.6,https://www.imdb.com//title/tt0971909
59,Luffy Kanzen Houi! Teitoku Nelson no Hisaku,21,2,2001,6.9,https://www.imdb.com//title/tt0971910
60,Oozora o Mau Mono! Yomigaeru Sennen no Densetsu!,28,2,2001,7.0,https://www.imdb.com//title/tt0971911
61,Ikari no Kecchaku! Red Line o Norikoero!,7,3,2001,7.5,https://www.imdb.com//title/tt0973526
62,Saisho no Toride? Kyodai Kujira Laboon Arawaru,21,3,2001,7.6,https://www.imdb.com//title/tt0975812
63,Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai,21,3,2001,7.5,https://www.imdb.com//title/tt0976906
64,Kaizoku Kangei no Machi? Whiskey Peak Jouriku,15,4,2001,7.6,https://www.imdb.com//title/tt0976907
65,Sakuretsu Santouryuu! Zoro VS Baroque Works!,15,4,2001,8.1,https://www.imdb.com//title/tt0976911
66,Shinken Shoubu! Luffy VS Zoro Nazo no Daikettou!,22,4,2001,8.0,https://www.imdb.com//title/tt0976915
67,Oujo Vivi o Todokero! Luffy Kaizoku Dan Shukkou,29,4,2001,7.8,https://www.imdb.com//title/tt0976910
68,Ganbare Coby! Coby-Meppo Kaigun Funtou Ki,13,5,2001,6.6,https://www.imdb.com//title/tt0976917
69,Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro,20,5,2001,6.8,https://www.imdb.com//title/tt0976909
70,Taiko no Shima! Little Garden ni Hisomu Kage!,27,5,2001,7.1,https://www.imdb.com//title/tt0976914
71,Dekkai Kettou! Kyojin Dorry to Brogy,3,6,2001,7.3,https://www.imdb.com//title/tt0976912
72,Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!,17,6,2001,7.2,https://www.imdb.com//title/tt0976913
73,Brogy Shouri no Goukyuu! Elbaf no Kecchaku,24,6,2001,7.4,https://www.imdb.com//title/tt0976908
74,Ma no Candle! Munen no Namida to Ikari no Namida,15,7,2001,7.6,https://www.imdb.com//title/tt0976916
75,Luffy o Osou Maryoku! Colors Trap,12,8,2001,7.6,https://www.imdb.com//title/tt0979320
76,Iza Hangeki! Usopp no Kiten to Kaenboshi!,19,8,2001,7.6,https://www.imdb.com//title/tt0980659
77,Saraba Kyojin no Shima! Arabasuta o Mezase,19,8,2001,7.5,https://www.imdb.com//title/tt0980660
78,Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!,26,8,2001,7.2,https://www.imdb.com//title/tt0980661
79,Kishuu! Bliking Gou to Blik no Wapol,2,9,2001,7.5,https://www.imdb.com//title/tt0980658
80,Isha no Inai Shima? Na mo Naki Kuni no Bouken!,9,9,2001,7.6,https://www.imdb.com//title/tt0980657
81,Happy kai? Majo to Yobareta Isha!,16,9,2001,7.5,https://www.imdb.com//title/tt0980662
82,Dolton no Kakugo! Wapol Gundan Shima ni Jouriku,7,10,2001,7.6,https://www.imdb.com//title/tt0982392
83,Yuki no Sumu Shima! Drum-Rocky o Nobore!,7,10,2001,8.0,https://www.imdb.com//title/tt0982399
84,Tonakai wa Aoppana! Chopper no Himitsu,21,10,2001,7.9,https://www.imdb.com//title/tt0982402
85,Hamidashi Mono no Yume! Yabuisha Hiluluk!,28,10,2001,8.4,https://www.imdb.com//title/tt0982394
86,Hiluluk no Sakura to Uketsugareyuku Ishi!,4,11,2001,9.3,https://www.imdb.com//title/tt0982397
87,Versus Wapol Gundan! Bakubaku no Mi no Nouryoku!,11,11,2001,8.0,https://www.imdb.com//title/tt0982405
