,Title,Url,Id,Ranking,Score,Type,Number_Episod,Start_date,End_date
0,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,52991,1,9.33,TV,28,2023-09-01,2024-03-01
1,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,5114,2,9.09,TV,64,2009-04-01,2010-07-01
2,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,9253,3,9.07,TV,24,2011-04-01,2011-09-01
3,Gintama°,https://myanimelist.net/anime/28977/Gintama°,28977,4,9.06,TV,51,2015-04-01,2016-03-01
4,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,38524,5,9.05,TV,10,2019-04-01,2019-07-01
5,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,39486,6,9.04,Movie,1,2021-01-01,2021-01-01
6,Gintama',https://myanimelist.net/anime/9969/Gintama,9969,7,9.03,TV,51,2011-04-01,2012-03-01
7,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,11061,8,9.03,TV,148,2011-10-01,2014-09-01
8,Monogatari Series: Off & Monster Season,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season,57864,9,9.03,ONA,,2024-07-01,2024-09-20
9,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,15417,10,9.02,TV,13,2012-10-01,2013-03-01
10,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,41467,11,9.01,TV,13,2022-10-01,2022-12-01
11,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,820,12,9.01,OVA,110,1988-01-01,1997-03-01
12,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,43608,13,9.0,TV,13,2022-04-01,2022-06-01
13,Gintama.,https://myanimelist.net/anime/34096/Gintama,34096,14,8.98,TV,12,2017-01-01,2017-03-01
14,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,42938,15,8.97,TV,13,2021-04-01,2021-06-01
15,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,4181,16,8.93,TV,24,2008-10-01,2009-03-01
16,Gintama,https://myanimelist.net/anime/918/Gintama,918,17,8.93,TV,201,2006-04-01,2010-03-01
17,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,28851,18,8.93,Movie,1,2016-09-01,2016-09-01
18,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,35180,19,8.91,TV,22,2017-10-01,2018-03-01
19,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,2904,20,8.91,TV,25,2008-04-01,2008-09-01
20,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,15335,21,8.9,Movie,1,2013-07-01,2013-07-01
21,Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,54492,22,8.89,TV,24,2023-10-01,2024-03-01
22,Monster,https://myanimelist.net/anime/19/Monster,19,23,8.88,TV,74,2004-04-01,2005-09-01
23,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,37491,24,8.88,TV,14,2018-07-01,2018-10-01
